产地,产品类型,阶段,检验日期,生产日期,产品编号,规格型号,材质分类,产品分类,产品批号,原材料,原材料批号,模具编号,总数量,合格数,一次硫化合格率,"不合格
数量",一次硫化缺胶,"一次硫化开
裂",一次硫化杂质,型腔坏,一硫尺寸不合格,"一次硫化合模线
撕裂","一次硫
化粘模",一次硫化污染,"一次硫化
凹陷",一次硫化合模线粗,一次硫化流痕,一次硫化气泡,一次硫熔接不良,"一次硫化
其他",操作员,二次硫化检查总数pcs,"总不
合格数pcs","总合
格率%",最终良品数pcs,污染,"杂质
","表面
凹陷","合模线
凹陷",合模线撕裂,"粘胶
",粘皮,缺胶,断裂,毛刺,开裂 ,气泡,压痕,尺寸不合格,粘模,划伤,表面发亮异点,修边不良,油污,焦烧,堵孔,水印印迹,变形,合模线开裂,合模线分开,拉丝,裁断不良,"胶
不
熟",加工痕迹,生锈,流痕,熔接不良,色差,打磨过度,混料,激光不良,其他,检验员,工时数H,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010143,FKM黑色75邵A 28.17*3.53,FKM黑色,美标O型圈,/,/,/,/,20,,0.00%,0,,,,,,,,,,,,,,,,20,0,100.00%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010161,FKM黑色75邵A 75.79*3.53,FKM黑色,美标O型圈,/,/,/,/,10,,0.00%,0,,,,,,,,,,,,,,,,10,1,90.00%,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010013,FKM黑色75邵A 10.82*1.78,FKM黑色,美标O型圈,/,/,/,/,10,,0.00%,0,,,,,,,,,,,,,,,,10,0,100.00%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901010150,FKM黑色75邵A 40.87*3.53,FKM黑色,美标O型圈,/,/,/,/,150,,0.00%,0,,,,,,,,,,,,,,,,150,3,98.00%,147,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901060023,NBR黑色70邵A 53.70*1.78,NBR黑色,定制O型圈,/,/,/,/,386,,0.00%,0,,,,,,,,,,,,,,,,386,1,99.74%,385,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0901060059,丁腈橡胶邵A70度黑色23.52*1.78,丁腈橡胶,定制O型圈,/,/,/,/,20000,,0.00%,0,,,,,,,,,,,,,,,,10000,13,99.87%,9987,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,张兆霞,,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/6,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,23120123-A,,B2023122767,,11621,,0.00%,0,,,,,,,,,,,,,,,,5274,2274,56.88%,3000,0,0,1120,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,随云,11,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/4,2024/4/28,0103020084,铜 + 低温FKM黑色75邵A BODY-VALVE,FKM黑色,橡胶金属结合件,2024012132,KC7501118AVPL,2M0231210150,0601040032,,,#DIV/0!,0,,,,,,,,,,,,,,,,881,2,99.77%,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,林顺春,11,,,,,,,,,,,,,,,,
上海,汽车,量产,2024/5/4,2024/4/30,0101020012,ACM红棕色70邵A 19.75*φ2.75,ACM红棕色,定制异形件,2024042964,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,5855,825,85.91%,5030,0,468,143,0,0,0,57,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,,,,0,陈燕,11,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2023/11/30,0101020245,FKM黑色75邵A φ28.98*7.92 D-0750-469,FKM黑色,定制异形件,2023100054,,,,3227,,0.00%,0,,,,,,,,,,,,,,,,2547,487,80.88%,2060,0,0,59,0,0,0,340,0,0,25,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,刘利利,7.5,,,,,,,,,,,,,,,,
